id,sex,age,city,country,followers_count,last_seen,costs,games
9571,Мужской,47,Москва,Россия,15152,03.09.2022,100000,['Overwatch']
9699,Женский,24,Phuket,Таиланд,22266,05.04.2020,25000,['Overwatch']
9731,Женский,36,Санкт-Петербург,Россия,4070,03.09.2022,100000,['Overwatch']
10480,Мужской,24,Москва,Россия,,02.09.2022,100000,['Warcraft III']
10484,Мужской,113,Москва,Россия,118,19.07.2022,100000,['Warcraft III']
10775,Мужской,38,Москва,Россия,,01.09.2022,25000,['Warcraft III']
10990,Мужской,24,Санкт-Петербург,Россия,1482,26.10.2021,25000,['Overwatch']
11074,Мужской,37,Санкт-Петербург,Россия,845,03.09.2022,25000,['Overwatch']
11671,Мужской,43,Москва,Россия,381,03.09.2022,25000,"['Dota 2', 'CS:GO']"
12018,Мужской,38,Москва,Россия,,24.08.2022,25000,"['Dota 2', 'CS:GO']"
13331,Мужской,37,,Россия,5813,03.09.2022,25000,['Hearthstone']
15849,Мужской,37,Краснодар,Россия,322,03.09.2022,25000,['Hearthstone']
16095,Мужской,37,Los Angeles,США,384,03.09.2022,196800,['Hearthstone']
16148,Мужской,47,Москва,Россия,1001,03.09.2022,25000,['FIFA']
16318,Мужской,40,Санкт-Петербург,Россия,779,03.09.2022,25000,['FIFA']
17142,Женский,36,Челябинск,Россия,9204,01.09.2022,25000,['FIFA']
17223,Женский,39,Санкт-Петербург,Россия,1460,03.09.2022,25000,['FIFA']
17583,Женский,26,Pattaya,Таиланд,14060,05.04.2020,25000,['FIFA']
18088,Мужской,41,Москва,Россия,1037,02.09.2022,25000,['FIFA']
18178,Мужской,21,Санкт-Петербург,Россия,11283,03.09.2022,25000,['Hearthstone']
18747,Мужской,37,Новосибирск,Россия,249,01.09.2022,25000,['PUBG']
19326,Мужской,21,Санкт-Петербург,Россия,541,03.09.2022,25000,['PUBG']
19425,Мужской,38,Санкт-Петербург,Россия,725,02.09.2022,25000,['PUBG']
19604,Мужской,37,,Россия,4453,03.09.2022,25000,['PUBG']
19618,Мужской,37,Санкт-Петербург,Россия,867,03.09.2022,25000,['Apex Legends']
19863,Женский,47,Новосибирск,Россия,15846,03.09.2022,25000,['CS:GO']
20397,Мужской,37,Санкт-Петербург,Россия,7961,02.09.2022,25000,['CS:GO']
21025,Мужской,26,Москва,Россия,194,31.08.2022,25000,['CS:GO']
21528,Мужской,47,Санкт-Петербург,Россия,424,03.09.2022,25000,['Apex Legends']
23626,Мужской,47,Москва,Россия,,03.09.2022,25000,['Apex Legends']
23994,Мужской,41,Санкт-Петербург,Россия,692,03.09.2022,25000,['Dota 2']
24577,Мужской,35,Улан-Удэ,Россия,982,03.09.2022,25000,['Dota 2']
24781,Мужской,41,,Россия,1612,03.09.2022,25000,['Dota 2']
25000,Мужской,47,Санкт-Петербург,Россия,3400,03.09.2022,25000,['Dota 2']
25089,Мужской,37,Санкт-Петербург,Россия,440,03.09.2022,75000,['Dota 2']
25262,Мужской,37,Санкт-Петербург,Россия,1306,03.09.2022,75000,['Dota 2']
25726,Мужской,40,Москва,Россия,1560,28.08.2022,75000,['Apex Legends']
27370,Мужской,47,Санкт-Петербург,Россия,,03.09.2022,75000,"['Dota 2', 'CS:GO', 'Warcraft III']"
28608,Мужской,36,Москва,Россия,996,03.09.2022,75000,"['Dota 2', 'CS:GO', 'Warcraft III']"
29607,Мужской,36,Москва,Россия,191,03.09.2022,75000,"['Dota 2', 'CS:GO', 'Warcraft III']"
29835,Женский,33,Санкт-Петербург,Россия,96306,06.07.2021,75000,"['Dota 2', 'CS:GO', 'Warcraft III']"
29990,Мужской,41,Краснодар,Россия,,03.09.2022,75000,"['Dota 2', 'CS:GO', 'Warcraft III']"
30661,Женский,41,,Россия,769,03.09.2022,75000,"['Dota 2', 'CS:GO', 'Warcraft III']"
30816,Мужской,41,Санкт-Петербург,Россия,221,03.09.2022,25000,"['Dota 2', 'CS:GO', 'Warcraft III']"
30915,Мужской,21,Санкт-Петербург,Россия,,02.09.2022,50000,"['Dota 2', 'CS:GO', 'Warcraft III']"
32287,Мужской,40,Санкт-Петербург,Россия,,03.09.2022,50000,"['Dota 2', 'CS:GO', 'Warcraft III']"
33163,Мужской,37,Санкт-Петербург,Россия,,03.09.2022,50000,['Apex Legends']
33784,Мужской,38,Санкт-Петербург,Россия,126,03.09.2022,50000,['Apex Legends']
33867,Мужской,24,Москва,Россия,16895,05.04.2016,50000,['Apex Legends']
34990,Мужской,41,Москва,Россия,1807,03.09.2022,50000,['Apex Legends']
36570,Мужской,21,Санкт-Петербург,Россия,679,03.09.2022,50000,"['StarCraft 2', 'Warface', 'Free Fire']"
37061,Мужской,40,Санкт-Петербург,Россия,,02.09.2022,50000,"['StarCraft 2', 'Warface', 'Free Fire']"
37552,Мужской,21,Санкт-Петербург,Россия,2988,03.09.2022,50000,"['StarCraft 2', 'Warface', 'Free Fire']"
38682,Мужской,37,Санкт-Петербург,Россия,6071,03.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
39535,Мужской,37,Москва,Россия,727,03.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
39681,Мужской,36,Санкт-Петербург,Россия,590,03.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
42889,Мужской,47,Алматы,Казахстан,2730,01.09.2022,30300,['Apex Legends']
44653,Мужской,47,Санкт-Петербург,Россия,,03.09.2022,25000,['League of Legends']
45473,Мужской,47,Санкт-Петербург,Россия,,03.09.2022,100000,"['PUBG', 'Hearthstone', 'Overwatch']"
46210,Мужской,37,Санкт-Петербург,Россия,98,03.09.2022,100000,"['PUBG', 'Hearthstone', 'Overwatch']"
46526,Мужской,47,Москва,Россия,,03.09.2022,100000,"['PUBG', 'Hearthstone', 'Overwatch']"
46867,Женский,36,Санкт-Петербург,Россия,664,03.09.2022,100000,"['PUBG', 'Hearthstone', 'Overwatch']"
47037,Мужской,47,Санкт-Петербург,Россия,146,03.09.2022,100000,"['PUBG', 'Hearthstone', 'Overwatch']"
48275,Мужской,43,Санкт-Петербург,Россия,4271,03.09.2022,25000,['League of Legends']
48295,Мужской,42,Санкт-Петербург,Россия,452,03.09.2022,25000,['FIFA']
49581,Мужской,37,,Россия,,03.09.2022,25000,['FIFA']
51196,Женский,21,Ногинск,Россия,8366,02.09.2022,25000,['FIFA']
52849,Мужской,36,,Россия,450,03.09.2022,25000,['FIFA']
53413,Мужской,37,Новосибирск,Россия,2832,03.09.2022,25000,['FIFA']
53772,Мужской,36,Санкт-Петербург,Россия,695,03.09.2022,25000,['FIFA']
54566,Мужской,32,Самара,Россия,,03.09.2022,25000,['FIFA']
54663,Мужской,37,Санкт-Петербург,Россия,,02.09.2022,25000,['League of Legends']
55164,Мужской,24,Санкт-Петербург,Россия,193,03.09.2022,25000,['Fortnite']
55299,Мужской,38,,Россия,942,03.09.2022,25000,['Fortnite']
55584,Мужской,40,Санкт-Петербург,Россия,394,03.09.2022,25000,['Fortnite']
55642,Мужской,38,Санкт-Петербург,Россия,,03.09.2022,25000,['Fortnite']
56703,Мужской,47,Санкт-Петербург,Россия,317,03.09.2022,25000,"['Dota Underlords', 'Quake Champions', 'Heroes of the Storm']"
56903,Мужской,47,Санкт-Петербург,Россия,77,09.05.2017,25000,"['Dota Underlords', 'Quake Champions', 'Heroes of the Storm']"
58034,Мужской,39,Санкт-Петербург,Россия,242,03.09.2022,25000,"['Dota Underlords', 'Quake Champions', 'Heroes of the Storm']"
58474,Мужской,24,,Россия,435,03.09.2022,25000,"['Dota Underlords', 'Quake Champions', 'Heroes of the Storm']"
59206,Мужской,24,,Россия,2974,02.02.2022,25000,"['Dota Underlords', 'Quake Champions', 'Heroes of the Storm']"
60243,Мужской,37,Санкт-Петербург,Россия,,31.08.2022,25000,"['Dota Underlords', 'Quake Champions', 'Heroes of the Storm']"
61073,Мужской,24,Phuket,Таиланд,22075,05.04.2020,25000,"['Dota Underlords', 'Quake Champions', 'Heroes of the Storm']"
61107,Мужской,36,Москва,Россия,706,03.09.2022,25000,"['Dota Underlords', 'Quake Champions', 'Heroes of the Storm']"
61136,Мужской,36,Санкт-Петербург,Россия,139,03.09.2022,25000,['Free Fire']
61511,Женский,47,Москва,Россия,2161,03.09.2022,25000,['Free Fire']
61588,Мужской,47,,Россия,,03.09.2022,25000,['Free Fire']
62030,Мужской,24,,Россия,120,02.09.2022,25000,['Warcraft III']
62312,Мужской,37,Санкт-Петербург,Россия,807,03.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
62569,Мужской,37,Санкт-Петербург,Россия,590,03.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
62642,Мужской,41,Бийск,Россия,8266,03.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
63526,Мужской,36,Санкт-Петербург,Россия,31,03.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
64243,Мужской,40,Санкт-Петербург,Россия,49,01.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
65223,Женский,37,Санкт-Петербург,Россия,1154,03.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
65765,Мужской,41,Санкт-Петербург,Россия,,03.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
66611,Мужской,47,Санкт-Петербург,Россия,556,02.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
66914,Мужской,36,,Россия,2380,03.09.2022,25000,['Warcraft III']
68352,Мужской,39,Кингисепп,Россия,357,03.09.2022,25000,['Warcraft III']
68875,Мужской,41,Москва,Россия,23,03.09.2022,25000,"['League of Legends', 'Valorant', 'Apex Legends']"
69794,Мужской,36,Воронеж,Россия,663,03.09.2022,25000,"['League of Legends', 'Valorant', 'Apex Legends']"
69865,Мужской,36,,Россия,,03.09.2022,25000,"['League of Legends', 'Valorant', 'Apex Legends']"
70724,Мужской,38,Москва,Россия,159,03.09.2022,25000,"['League of Legends', 'Valorant', 'Apex Legends']"
71393,Мужской,21,Москва,Россия,802,02.09.2022,25000,"['League of Legends', 'Valorant', 'Apex Legends']"
71607,Мужской,47,Москва,Россия,292,03.09.2022,25000,"['League of Legends', 'Valorant', 'Apex Legends']"
71805,Мужской,39,Санкт-Петербург,Россия,211,03.09.2022,25000,"['League of Legends', 'Valorant', 'Apex Legends']"
72042,Мужской,39,Санкт-Петербург,Россия,570,03.09.2022,25000,['Warcraft III']
74222,Мужской,38,Алматы,Казахстан,516,01.07.2022,22725,['CS:GO']
74437,Мужской,47,Санкт-Петербург,Россия,86,20.03.2022,25000,['CS:GO']
74510,Мужской,38,Санкт-Петербург,Россия,,21.08.2022,25000,['Dota 2']
74557,Мужской,36,Санкт-Петербург,Россия,797,03.09.2022,25000,['Dota 2']
74687,Мужской,39,Саратов,Россия,224,03.09.2022,25000,"['PUBG', 'Hearthstone', 'Overwatch']"
75031,Мужской,45,Москва,Россия,8,01.11.2020,25000,"['PUBG', 'Hearthstone', 'Overwatch']"
75261,Мужской,47,Санкт-Петербург,Россия,43,03.09.2022,25000,"['PUBG', 'Hearthstone', 'Overwatch']"
75295,Мужской,40,Санкт-Петербург,Россия,,03.09.2022,25000,"['PUBG', 'Hearthstone', 'Overwatch']"
75944,Мужской,75,Москва,Россия,16087,26.10.2016,25000,['Fortnite']
76033,Женский,47,Санкт-Петербург,Россия,432,03.09.2022,25000,['Fortnite']
76141,Мужской,21,Санкт-Петербург,Россия,,01.09.2022,25000,['Fortnite']
77306,Мужской,41,Санкт-Петербург,Россия,471,03.09.2022,25000,['Fortnite']
77532,Мужской,21,Тель-Авив,Израиль,41,31.08.2022,138615,['Fortnite']
80286,Мужской,47,Санкт-Петербург,Россия,163,03.09.2022,25000,['Fortnite']
80587,Мужской,44,Москва,Россия,13,24.08.2022,25000,['Fortnite']
80671,Женский,41,Санкт-Петербург,Россия,,03.09.2022,25000,['Fortnite']
80776,Мужской,41,,Россия,,03.09.2022,25000,['Dota 2']
81209,Мужской,36,Санкт-Петербург,Россия,420,03.09.2022,25000,['FIFA']
81256,Мужской,40,Москва,Россия,158,03.09.2022,25000,['FIFA']
81749,Мужской,40,,Россия,1001,28.07.2021,25000,['FIFA']
82177,Мужской,40,Санкт-Петербург,Россия,1757,02.09.2022,25000,['FIFA']
82606,Мужской,37,Санкт-Петербург,Россия,,03.09.2022,100000,['FIFA']
83611,Мужской,47,Санкт-Петербург,Россия,,03.09.2022,100000,['FIFA']
83897,Мужской,25,,Россия,600,03.09.2022,100000,['CS:GO']
84216,Женский,28,Санкт-Петербург,Россия,698,08.08.2022,100000,['CS:GO']
84417,Мужской,37,Санкт-Петербург,Россия,,03.09.2022,100000,['CS:GO']
84627,Женский,29,Москва,Россия,6954,02.09.2022,50000,"['Dota 2', 'CS:GO', 'Warcraft III']"
84818,Мужской,47,Санкт-Петербург,Россия,1435,03.09.2022,50000,"['Dota 2', 'CS:GO', 'Warcraft III']"
85235,Мужской,37,Санкт-Петербург,Россия,,03.09.2022,50000,"['Dota 2', 'CS:GO', 'Warcraft III']"
86513,Мужской,24,Санкт-Петербург,Россия,,03.09.2022,25000,"['Dota 2', 'CS:GO', 'Warcraft III']"
87552,Мужской,21,Сочи,Россия,6280,03.09.2022,25000,"['Dota 2', 'CS:GO', 'Warcraft III']"
87600,Мужской,36,Санкт-Петербург,Россия,671,02.09.2022,25000,"['Dota 2', 'CS:GO', 'Warcraft III']"
87982,Мужской,42,Санкт-Петербург,Россия,2059,02.09.2022,25000,"['Dota 2', 'CS:GO', 'Warcraft III']"
88253,Женский,24,Санкт-Петербург,Россия,13143,21.05.2021,25000,"['Dota 2', 'CS:GO', 'Warcraft III']"
90277,Женский,47,Санкт-Петербург,Россия,969,03.09.2022,25000,"['Dota 2', 'CS:GO', 'Warcraft III']"
90520,Мужской,38,Санкт-Петербург,Россия,113,03.09.2022,25000,['CS:GO']
90540,Мужской,24,,Россия,34872,03.09.2022,25000,['Warcraft III']
93388,Мужской,24,,Россия,,01.09.2022,25000,['Warcraft III']
93443,Мужской,47,Москва,Россия,11242,10.01.2020,25000,['Warcraft III']
93500,Мужской,24,Санкт-Петербург,Россия,219,03.09.2022,25000,['Free Fire']
93504,Мужской,47,Мурманск,Россия,,03.09.2022,25000,['Free Fire']
93694,Мужской,24,Киев,Украина,22459,23.08.2019,25000,['Free Fire']
94795,Мужской,35,,Россия,604,03.09.2022,25000,['Free Fire']
95300,Мужской,28,Москва,Россия,5781,31.08.2021,25000,['Free Fire']
95705,Мужской,47,Praha,Чехия,44275,03.09.2022,138615,['Free Fire']
95716,Мужской,42,Санкт-Петербург,Россия,498,03.09.2022,25000,['Dota 2']
96151,Мужской,39,Санкт-Петербург,Россия,954,03.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
97076,Мужской,26,,Россия,,02.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
97716,Мужской,21,Москва,Россия,260,03.09.2022,25000,['FIFA']
98222,Мужской,36,Кириши,Россия,376,03.09.2022,25000,['FIFA']
98374,Мужской,21,Санкт-Петербург,Россия,192,03.09.2022,25000,['FIFA']
98971,Мужской,47,,Россия,,02.09.2022,25000,['FIFA']
99752,Мужской,37,Калининград,Россия,530,03.09.2022,25000,['FIFA']
100636,Мужской,34,Братск,Россия,66,03.09.2022,25000,['FIFA']
100842,Мужской,26,Элиста,Россия,367,03.09.2022,25000,['FIFA']
101012,Мужской,37,Нефтеюганск,Россия,255,02.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
101242,Мужской,38,Калининград,Россия,,01.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
101506,Женский,47,Москва,Россия,1241,26.08.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
101979,Мужской,47,Санкт-Петербург,Россия,,03.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
102212,Мужской,36,Санкт-Петербург,Россия,667,03.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
104851,Женский,47,Санкт-Петербург,Россия,,03.09.2022,25000,"['Dota Underlords', 'Quake Champions', 'Heroes of the Storm']"
104957,Мужской,40,Санкт-Петербург,Россия,,02.09.2022,25000,"['Dota Underlords', 'Quake Champions', 'Heroes of the Storm']"
105973,Мужской,47,Санкт-Петербург,Россия,119,03.09.2022,25000,"['Dota Underlords', 'Quake Champions', 'Heroes of the Storm']"
107682,Мужской,21,Санкт-Петербург,Россия,77,03.09.2022,25000,"['Dota Underlords', 'Quake Champions', 'Heroes of the Storm']"
108475,Мужской,26,Санкт-Петербург,Россия,,03.09.2022,25000,"['Dota Underlords', 'Quake Champions', 'Heroes of the Storm']"
109283,Мужской,36,Санкт-Петербург,Россия,321,03.09.2022,25000,"['Dota Underlords', 'Quake Champions', 'Heroes of the Storm']"
109656,Мужской,26,Санкт-Петербург,Россия,96,03.09.2022,25000,['Dota 2']
109804,Мужской,36,Санкт-Петербург,Россия,,03.09.2022,25000,['Dota 2']
110583,Мужской,37,Санкт-Петербург,Россия,630,03.09.2022,25000,['Dota 2']
110900,Мужской,45,Санкт-Петербург,Россия,,03.09.2022,25000,['Free Fire']
111011,Мужской,47,Москва,Россия,,03.09.2022,25000,['League of Legends']
111020,Женский,47,Минск,Беларусь,33470,09.11.2020,25000,['League of Legends']
111651,Мужской,36,Санкт-Петербург,Россия,,03.09.2022,25000,['League of Legends']
111986,Мужской,37,Санкт-Петербург,Россия,156,03.09.2022,25000,['League of Legends']
112308,Мужской,26,Санкт-Петербург,Россия,49,03.09.2022,25000,['CS:GO']
112583,Мужской,39,Сургут,Россия,2255,18.08.2022,25000,['CS:GO']
112656,Мужской,40,Санкт-Петербург,Россия,230,03.09.2022,25000,['League of Legends']
113881,Мужской,47,Нур-Султан / Астана,Казахстан,485,02.09.2022,30300,['Fortnite']
115420,Мужской,38,Санкт-Петербург,Россия,1484,03.09.2022,25000,['Fortnite']
116045,Мужской,47,Санкт-Петербург,Россия,216,29.08.2022,25000,['Fortnite']
116638,Мужской,38,Ижевск,Россия,477,03.09.2022,25000,['Fortnite']
117020,Мужской,51,Москва,Россия,,02.09.2022,25000,['Fortnite']
118347,Мужской,36,Гатчина,Россия,3805,03.09.2022,25000,['Fortnite']
119943,Мужской,21,Санкт-Петербург,Россия,881,03.09.2022,25000,['Fortnite']
120381,Мужской,38,Санкт-Петербург,Россия,,03.09.2022,25000,['Fortnite']
121452,Мужской,39,Москва,Россия,88,03.09.2022,25000,['Fortnite']
121689,Мужской,36,Москва,Россия,112,02.09.2022,25000,['Warcraft III']
122333,Мужской,21,Москва,Россия,,02.09.2022,25000,['Warcraft III']
122452,Мужской,28,Санкт-Петербург,Россия,344,03.09.2022,25000,['Warcraft III']
122525,Мужской,28,,Россия,2454,26.04.2022,25000,['Warcraft III']
122892,Мужской,36,Москва,Россия,99,03.09.2022,25000,['Dota 2']
123179,Мужской,21,Санкт-Петербург,Россия,147,02.09.2022,25000,['Dota 2']
124398,Мужской,41,,Россия,,03.09.2022,25000,"['PUBG', 'Hearthstone', 'Overwatch']"
124461,Мужской,47,Москва,Россия,173,03.09.2022,25000,"['PUBG', 'Hearthstone', 'Overwatch']"
125095,Мужской,41,Санкт-Петербург,Россия,,03.09.2022,25000,"['PUBG', 'Hearthstone', 'Overwatch']"
125304,Мужской,47,Санкт-Петербург,Россия,723,03.09.2022,25000,"['PUBG', 'Hearthstone', 'Overwatch']"
125487,Мужской,37,Санкт-Петербург,Россия,675,03.09.2022,25000,"['League of Legends', 'Valorant', 'Apex Legends']"
126106,Мужской,37,Санкт-Петербург,Россия,487,03.09.2022,25000,"['League of Legends', 'Valorant', 'Apex Legends']"
126487,Женский,47,,Россия,9092,03.09.2022,25000,"['League of Legends', 'Valorant', 'Apex Legends']"
126751,Мужской,41,Москва,Россия,92,03.09.2022,25000,"['League of Legends', 'Valorant', 'Apex Legends']"
127877,Мужской,37,Москва,Россия,1377,03.09.2022,25000,"['League of Legends', 'Valorant', 'Apex Legends']"
128237,Мужской,41,,Россия,,03.09.2022,25000,"['PUBG', 'Hearthstone', 'Overwatch']"
128383,Мужской,28,Старая Русса,Россия,0,03.09.2022,25000,"['PUBG', 'Hearthstone', 'Overwatch']"
128447,Мужской,44,Санкт-Петербург,Россия,163,03.09.2022,25000,"['PUBG', 'Hearthstone', 'Overwatch']"
128850,Мужской,28,Новосибирск,Россия,4,16.08.2016,25000,"['PUBG', 'Hearthstone', 'Overwatch']"
129376,Мужской,24,Казань,Россия,2411,03.09.2022,25000,['Dota 2']
129662,Мужской,36,Пермь,Россия,,03.09.2022,25000,['Dota 2']
130367,Мужской,36,Москва,Россия,1630,03.09.2022,25000,['Dota 2']
130986,Мужской,47,Москва,Россия,,03.09.2022,25000,['Dota 2']
131075,Мужской,24,Москва,Россия,126,03.09.2022,25000,['FIFA']
131128,Мужской,38,Санкт-Петербург,Россия,57,02.09.2022,25000,['FIFA']
135211,Мужской,36,Москва,Россия,275,03.09.2022,75000,['FIFA']
135304,Мужской,47,Санкт-Петербург,Россия,120,03.09.2022,75000,['FIFA']
135616,Мужской,47,Санкт-Петербург,Россия,1242,16.09.2018,75000,['FIFA']
136075,Мужской,38,Москва,Россия,332,03.09.2022,75000,['FIFA']
137439,Мужской,43,Санкт-Петербург,Россия,300,03.09.2022,75000,['Dota 2']
137512,Мужской,36,Санкт-Петербург,Россия,,03.09.2022,75000,['Warcraft III']
137656,Мужской,47,Санкт-Петербург,Россия,247,03.09.2022,75000,['Warcraft III']
138628,Мужской,39,Дюртюли,Россия,740,03.09.2022,25000,['Warcraft III']
141370,Мужской,40,Смоленск,Россия,790,03.09.2022,25000,['Warcraft III']
141632,Мужской,37,Москва,Россия,245,03.09.2022,25000,['Free Fire']
142744,Мужской,24,Санкт-Петербург,Россия,43,03.09.2022,25000,['Warface']
143143,Женский,24,Санкт-Петербург,Россия,2029,03.09.2022,25000,['Warface']
144124,Мужской,40,Астрахань,Россия,356,03.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
145167,Мужской,36,Санкт-Петербург,Россия,,03.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
146249,Мужской,21,Москва,Россия,265,03.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
147941,Мужской,47,Москва,Россия,125,03.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
149353,Мужской,33,Москва,Россия,894,31.08.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
149458,Мужской,21,Санкт-Петербург,Россия,102,03.09.2022,25000,"['StarCraft 2', 'Warface', 'Free Fire']"
151127,Мужской,39,Санкт-Петербург,Россия,3245,03.09.2022,25000,['Valorant']
151669,Мужской,37,Санкт-Петербург,Россия,367,30.08.2022,25000,['Valorant']
152989,Мужской,25,,Израиль,211,11.10.2021,138615,['Valorant']
153211,Мужской,39,Южно-Сахалинск,Россия,114,31.08.2022,25000,['Valorant']
153321,Мужской,40,Санкт-Петербург,Россия,1850,03.09.2022,25000,['Valorant']
153818,Мужской,47,Санкт-Петербург,Россия,677,03.09.2022,25000,['Valorant']
154490,Мужской,47,Нижний Новгород,Россия,521,03.09.2022,25000,['Valorant']
154788,Женский,21,Москва,Россия,585,03.09.2022,25000,['Valorant']
154852,Мужской,21,Paphos,Кипр,2201,03.09.2022,138615,['Hearthstone']
156055,Мужской,47,Санкт-Петербург,Россия,633,03.09.2022,25000,['PUBG']
156532,Женский,37,Санкт-Петербург,Россия,208,31.08.2022,25000,['PUBG']
156715,Мужской,34,,Россия,126,03.09.2022,25000,['Dota 2']
156895,Мужской,39,Санкт-Петербург,Россия,333,03.09.2022,25000,['Dota 2']
157546,Мужской,47,Санкт-Петербург,Россия,2695,03.09.2022,25000,['Dota 2']
157726,Мужской,36,Пятигорск,Россия,1571,18.08.2022,25000,['Dota 2']
158236,Мужской,40,Орехово-Зуево,Россия,234,03.09.2022,25000,['FIFA']
158720,Мужской,37,Санкт-Петербург,Россия,1897,03.09.2022,25000,['FIFA']
159005,Мужской,25,Санкт-Петербург,Россия,203,04.08.2021,25000,['FIFA']
159683,Мужской,47,,Россия,,03.09.2022,25000,['FIFA']
159888,Мужской,25,Санкт-Петербург,Россия,,03.09.2022,25000,['FIFA']
160294,Мужской,39,Санкт-Петербург,Россия,,03.09.2022,25000,['FIFA']
160677,Мужской,25,,Россия,314,03.09.2022,25000,['Dota 2']
160970,Мужской,47,Москва,Россия,,03.09.2022,25000,['Warcraft III']
161073,Мужской,25,Москва,Россия,,08.08.2022,25000,['Warcraft III']
161607,Мужской,37,Санкт-Петербург,Россия,344,03.09.2022,25000,['Warcraft III']
161883,Мужской,39,Санкт-Петербург,Россия,311,02.09.2022,25000,['Warcraft III']
161934,Мужской,38,Санкт-Петербург,Россия,1282,03.09.2022,25000,['Warcraft III']
162621,Мужской,39,Санкт-Петербург,Россия,230,03.09.2022,25000,['Warcraft III']
